"","a_std","b_std","c_std","region","a","b","c","cluster"
"42",-0.237063601895421,-0.18280759493449,0.672236915924228,"Fiji",10000,0.1,85.2616199718166,4
"43",-0.237063601895421,-0.494754500052061,0.697711899524971,"Finland",10000,0.08,85.7284436839953,4
"44",-0.237063601895421,-0.0268341423757051,0.19921566706402,"Gabon",10000,0.11,76.5936051541001,4
"45",-0.237063601895421,-0.0268341423757051,0.702142592620346,"Gambia",10000,0.11,85.8096352023383,4
"46",-0.237063601895421,-0.338781047493276,0.765887485049456,"Georgia",10000,0.09,86.9777469382501,4
"47",-0.10242595318535,-0.18280759493449,-0.146413537178316,"Ghana",30000,0.1,70.2600227388765,4
"48",-0.237063601895421,-0.806701405169632,-0.193802728230572,"Greece",10000,0.06,69.3916257879354,4
"49",-0.237063601895421,-0.18280759493449,0.746744478121878,"Grenada",10000,0.1,86.6269553657706,4
"50",-0.237063601895421,-0.18280759493449,-0.0505665599927309,"Guatemala",10000,0.1,72.0163984206876,4
"51",-0.237063601895421,-0.494754500052061,0.930528957773926,"Guinea-Bissau",10000,0.08,89.9947672700537,4
"52",-0.237063601895421,-0.18280759493449,0.753741024555894,"Guyana",10000,0.1,86.7551656064501,4
"53",-0.237063601895421,-0.494754500052061,0.925475820098895,"Haiti",10000,0.08,89.9021695858087,4
"54",-0.237063601895421,0.597059667859436,0.850357513084836,"Holy See",10000,0.15,88.5256424216515,4
"55",-0.237063601895421,-0.650727952610846,0.381422925399287,"Honduras",10000,0.07,79.9325148097472,4
"56",-0.237063601895421,-0.962674857728417,0.248032507708963,"Iceland",10000,0.05,77.488163483317,4
"57",-0.10242595318535,0.753033120418222,0.281261381713963,"India",30000,0.16,78.0970756050143,4
"58",-0.237063601895421,-0.806701405169632,0.446820468114834,"Iraq",10000,0.06,81.1309110142867,4
"59",-0.237063601895421,-0.338781047493276,0.5994591683491,"Jamaica",10000,0.09,83.9279830667065,4
"60",-0.169744777540385,0.12913931018308,0.766318350493305,"Japan",20000,0.12,86.9856424568145,4
"61",-0.237063601895421,-0.650727952610846,0.770386560579843,"Jordan",10000,0.07,87.0601915503207,4
"62",-0.237063601895421,-0.650727952610846,0.766836064337323,"Kenya",10000,0.07,86.995129454031,4
"63",-0.237063601895421,-0.338781047493276,-0.10089586022209,"Kuwait",10000,0.09,71.0941245879484,4
"64",-0.237063601895421,-0.338781047493276,-0.554286076624487,"Kyrgyzstan",10000,0.09,62.785844307827,4
"65",-0.237063601895421,-0.338781047493276,0.930810589899338,"Laos",10000,0.09,89.9999281194703,4
"66",-0.237063601895421,-0.806701405169632,0.772576049659236,"Latvia",10000,0.06,87.1003134768285,4
"67",-0.237063601895421,-0.650727952610846,0.930811742246889,"Lebanon",10000,0.07,89.9999492359966,4
"68",-0.237063601895421,0.12913931018308,-0.00116458639362128,"Liberia",10000,0.12,72.9216791881232,4
"69",-0.237063601895421,-0.338781047493276,0.548303934191845,"Libya",10000,0.09,82.9905741685919,4
"70",-0.237063601895421,-0.18280759493449,0.905781084795714,"Liechtenstein",10000,0.1,89.5412677069812,4
"71",-0.237063601895421,-0.650727952610846,0.175283880889187,"Lithuania",10000,0.07,76.155060209919,4
"72",-0.237063601895421,-0.650727952610846,0.655784159928034,"Madagascar",10000,0.07,84.9601266813758,4
"73",-0.237063601895421,-0.338781047493276,0.721119118786377,"Malawi",10000,0.09,86.1573760499055,4
"74",-0.237063601895421,-0.494754500052061,0.387041334406664,"Malaysia",10000,0.08,80.0354709721718,4
"75",-0.237063601895421,-0.0268341423757051,0.930810370883589,"Maldives",10000,0.11,89.9999241060528,4
"76",1.58054465569054,-0.0268341423757051,0.915776854789852,"Mali",280000,0.11,89.7244380880845,4
"77",-0.237063601895421,-0.650727952610846,0.627336598286381,"Malta",10000,0.07,84.4388311023042,4
"78",-0.237063601895421,0.285112762741866,0.848765615030841,"Mauritania",10000,0.13,88.4964712248954,4
"79",-0.237063601895421,-0.806701405169632,0.646338615600969,"Mauritius",10000,0.06,84.787039069803,4
"80",-0.237063601895421,-0.0268341423757051,0.858686881461211,"Monaco",10000,0.11,88.6782763438751,4
"81",-0.237063601895421,-0.0268341423757051,0.930810143399585,"Mongolia",10000,0.11,89.9999199374563,4
