a_std,b_std,c_std,region,a,b,c,cluster
-0.24372950492526316,-0.48067020069143157,0.26101451891607014,Georgia,1000,0.09,57.29398966804794,3
-0.24979195947570731,-1.3321431276305389,1.3584801655745362,Grenada,100,0.03,82.05314119772872,3
-0.24372950492526316,-0.1968458917117291,-0.2575145623234712,Guatemala,1000,0.11,45.59581931160372,3
-0.24372950492526316,0.7965391897172294,-0.713332879986269,Guinea,1000,0.18,35.31242244047641,3
-0.24979195947570731,-0.1968458917117291,-1.2118643588950497,Guinea-Bissau,100,0.11,24.06540394272147,3
-0.24979195947570731,-0.05493373722187795,-0.8213611848282508,Guyana,100,0.12,32.87527174038753,3
-0.24979195947570731,-0.48067020069143157,-1.1580751568536733,Haiti,100,0.09,25.278904345269833,3
-0.24979195947570731,-1.0483188186508363,1.5781661076688338,Holy See,100,0.05,87.00932141695894,3
-0.24709753523106548,0.9384513442070807,-1.1875077083380845,Honduras,500,0.19,24.61489722638965,3
-0.24709753523106548,0.0869784172679734,-1.0304731325553336,Jordan,500,0.13,28.157643980278923,3
-0.24709753523106548,-0.1968458917117291,-0.7723862072991863,Kenya,500,0.11,33.98016180550879,3
-0.24372950492526316,0.0869784172679734,-0.9575170642855724,Kyrgyzstan,1000,0.13,29.803554587868888,3
-0.24979195947570731,-1.0483188186508363,-0.006121387417696176,Laos,100,0.05,51.26732413726378,3
-0.24372950492526316,-0.1968458917117291,-0.7309921713450511,Latvia,1000,0.11,34.91402357305844,3
-0.24372950492526316,-0.48067020069143157,-0.3346365126584047,Lebanon,1000,0.09,43.8559251651026,3
-0.24979195947570731,1.789924271146188,-1.0668515624987156,Liberia,100,0.25,27.33693577668048,3
-0.24979195947570731,0.0869784172679734,-1.2011730120723205,Libya,100,0.13,24.306603908156653,3
-0.24979195947570731,0.0869784172679734,-1.2409613201839391,Liechtenstein,100,0.13,23.408967838504108,3
-0.24372950492526316,1.9318364256360392,-0.9112441545573405,Lithuania,1000,0.26,30.84748519942731,3
-0.24979195947570731,2.3575728891055925,-2.0142924322001177,Madagascar,100,0.29,5.9623878536786705,3
-0.24979195947570731,-0.48067020069143157,-0.8104830600250942,Malawi,100,0.09,33.12068547263527,3
-0.24709753523106548,-1.0483188186508363,1.7107265083157317,Maldives,500,0.05,89.99992349771193,3
-0.24372950492526316,0.0869784172679734,-0.7524098209482296,Mali,1000,0.13,34.43083502538107,3
-0.24709753523106548,0.0869784172679734,-1.012029037352935,Malta,500,0.13,28.57374825592023,3
-0.24979195947570731,2.215660734615742,-1.562844069235466,Martinique,100,0.28,16.14719724657495,3
-0.24979195947570731,-1.0483188186508363,1.357040597207182,Mauritania,100,0.05,82.02066410703054,3
-0.24709753523106548,-0.05493373722187795,-1.333340882799874,Mauritius,500,0.12,21.324857419177825,3
-0.24979195947570731,0.7965391897172294,-0.9322759315743369,Monaco,100,0.18,30.373002052107147,3
-0.24709753523106548,-0.9064066641609853,1.4612457912915684,Mongolia,500,0.06,84.37156429089573,3
-0.24709753523106548,-0.1968458917117291,-1.1749171759914003,Montenegro,500,0.11,24.898943382330888,3
-0.24372950492526316,-0.6225823551812827,0.6264076757739971,Mozambique,1000,0.08,65.53736800622131,3
-0.24979195947570731,-1.1902309731406875,1.0129370751284283,MS Zaandam,100,0.04,74.25758626401532,3
-0.24979195947570731,-1.1902309731406875,0.9333743592375875,Namibia,100,0.04,72.46262772034501,3
-0.24979195947570731,0.3708027262476757,1.710727297287195,Nepal,100,0.15,89.9999412971429,3
-0.24372950492526316,4.202430897473659,-0.962062955797165,New Zealand,1000,0.42,29.700997922778086,3
-0.24979195947570731,-1.0483188186508363,0.734948174971749,Nicaragua,100,0.05,67.9860739633752,3
-0.24372950492526316,0.6546270352273784,-1.431417905335231,Niger,1000,0.17,19.112210608841252,3
-0.24372950492526316,-0.05493373722187795,-0.12214537535444044,Nigeria,1000,0.12,48.649788447513224,3
